Category,Number,Question,Answer,Hints,Example Answer,Data Source
Food and Beverages,1,Where is the most sugar consumed across the entire population? Dataset: `food_intake.csv`,Home,Sum values,"| inputlookup stocks.csv where stock=BCUP
| sort 0 + _time 
| streamstats avg(Open) as avg_open count window=10 
| eventstats max(_time) as max_time 
| reverse 
| eval avg_open=if(max_time=_time,avg_open,null()) 
| filldown avg_open 
| where Open>avg_open
| stats count",https://www.ers.usda.gov/data-products/food-consumption-and-nutrient-intakes/
Food and Beverages,2,What food group did children not receive in 2017-2018 at school? Dataset: `food_intake.csv`,VegetablesDarkGreen,Missing data or 0 values?,| inputlookup food_intake.csv where Demographic=Children* AND Location=School AND Period=2017-2018 AND Value=0|fields FoodGroup|rename FoodGroup as answer,https://www.ers.usda.gov/data-products/food-consumption-and-nutrient-intakes/
Food and Beverages,3,What is the most popular unit of measure across all food groups? Dataset: `food_intake.csv`,cup,Distinctly count the groups,| inputlookup food_intake.csv|stats dc(FoodGroup) as groups by Unit|sort - groups|head 1|rename Unit as answer,https://www.ers.usda.gov/data-products/food-consumption-and-nutrient-intakes/
Food and Beverages,4,Which demographic had the highest increase in fats between periods? Dataset: `food_intake.csv`,Household income 185–300% poverty line,Find the delta between 2015-2016 to 2017-2018,"| inputlookup food_intake.csv WHERE FoodGroup=""fats"" | sort 0 period | streamstats current=false last(Value) AS lastValue BY Demographic | eval changeValue=lastValue-Value | sort 0 -changeValue | head 1 | table Demographic",https://www.ers.usda.gov/data-products/food-consumption-and-nutrient-intakes/
Food and Beverages,5,Is Beer or Wine consumed more? Dataset: `alcohol.csv`,Beer,Sum the litres,| inputlookup alcohol.csv where Type=Beer OR Type=Wine|stats sum(Litres) as litres by Type|sort - litres|rename Type as answer|head 1,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)
Food and Beverages,6,What percentage of countries are in all groups when grouping litres into 10 clusters? (round percentage to 2 decimal places) Dataset: `alcohol.csv`,5.82,use kmeans and eventstats,"| inputlookup alcohol.csv|kmeans Litres k=10|stats dc(CLUSTERNUM) as cluster_count by Country|eventstats dc(Country) as total_countries|search cluster_count=10|stats dc(Country) as countries max(total_countries) as total|eval answer=round((countries/total)*100,2)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)
Firewall,1,What is the median percentage of known vulnerabilities per source country? (round 2 decimal places) Dataset: `firewall_traffic.csv` ,88.92,Use iplocation,"|inputlookup firewall_traffic.csv| iplocation src_ip|stats count(eval(has_known_vulnerability=""yes"")) as yes count as total by Country|eval perc=(yes/total)*100|stats median(perc) as answer",|inputlookup firewall_traffic.csv from ML Toolkit
Firewall,2,What destination ip had the most missing packets? Dataset: `firewall_traffic.csv`,84.216.108.116,sent should be less than received,|inputlookup firewall_traffic.csv|where packets_sent<packets_received|stats count by dst_ip|sort - count |rename dst_ip as answer|head 1,|inputlookup firewall_traffic.csv from ML Toolkit
Firewall,3,What is the accuracy of predicting traffic used by malware based on bytes sent? (round 2 decimal places) Dataset: `firewall_traffic.csv`,0.76,use analyzefields,"|inputlookup firewall_traffic.csv| analyzefields classfield=used_by_malware|search field=""bytes_sent""|rename acc as answer",|inputlookup firewall_traffic.csv from ML Toolkit
ButtercupGames,6,How many distinct sessions removed an item before purchasing? Dataset: `index=tutorial`,434,Use transaction or streamstats,"index=tutorial sourcetype=access_combined_wcookie|transaction JSESSIONID startswith=""action=remove"" endswith=""action=purchase""|stats dc(JSESSIONID) as answer",index=tutorial sourcetype=access_combined_wcookie
ButtercupGames,1,What is the most viewed product? Dataset: `index=tutorial`,SC-MG-G10,action=view,index=tutorial sourcetype=access_combined_wcookie action=view|stats count by productId|sort - count|fields productId|rename productId as answer,index=tutorial sourcetype=access_combined_wcookie
ButtercupGames,2,Which IP address viewed the top product most? Dataset: `index=tutorial`,87.194.216.51,Remember that SC-MG-G10 was the top viewed product,index=tutorial sourcetype=access_combined_wcookie action=view productId=SC-MG-G10|stats count by clientip|sort - count|fields clientip|rename clientip as answer,index=tutorial sourcetype=access_combined_wcookie
ButtercupGames,3,Which vendor was the first to sell the top-selling product code? Dataset: `index=tutorial`,1065,Use the vendor_sales sourcetype and find the most common code and earliest vendor,index=tutorial sourcetype=vendor_sales|stats earliest(VendorID) as vendor count by Code|sort - count|fields vendor|head 1|rename vendor as answer,index=tutorial sourcetype=vendor_sales
ButtercupGames,4,When was the first event indexed in the tutorial data (YYYY/mm/dd HH:MM:SS)? Dataset: `index=tutorial`,2024/05/03 16:02:05,Use _indextime,"index=tutorial |stats min(_indextime) as answer|eval answer=strftime(answer,%Y/%m/%d %T)",index=tutorial
ButtercupGames,5,Which country has most login failures? Dataset: `index=tutorial`,United States,Use rex and iplocation,"index=tutorial sourcetype=secure-2 ""Failed password""|rex ""from\s(?<ip>[^\s]+)""|iplocation ip|stats count by Country|sort - count|head 1|rename Country as answer",index=tutorial sourcetype=secure-2 
Internal Logs,4,"How many parsing pipeline metrics logs were indexed between June 1, 2024 20:30:00 and June 1, 2024 21:30:00 Dataset: `index=mock_internal`",342,Use _index_earliest and _index_latest. Time format is %m/%d/%Y:%H:%M:%S,index=mock_internal _index_earliest=06/01/2024:20:30:00 _index_latest=06/01/2024:21:30:00 source=/opt/splunk/var/log/splunk/metrics.log name=parsing|stats count,"index=mock_internal source=""/opt/splunk/var/log/splunk/metrics.log"""
Internal Logs,3,What is the skip ratio for scheduled searches? Round 2 decimal places and format with % Dataset: `index=mock_internal`,5.51%,Use eventstats for the total searches,"index=mock_internal sourcetype=mock_scheduler |stats count by status|eventstats sum(count) as total|eval answer=round((count/total)*100,2).%|search status=skipped",index=mock_internal sourcetype=mock_scheduler
Internal Logs,1,What is the maximum CPU percentage for an IOWait event? Dataset: `index=mock_introspection`,38.00,"You might need to rename ""data.max_cpus_pct{}"" before using stats",index=mock_introspection component=IOWait|rename data.max_cpus_pct{} as answer|stats max(answer) as answer,index=mock_introspection 
Internal Logs,2,Which process was executed most often? Dataset: `index=mock_introspection`,dash,Distinctly count the process id for each process,"index=""mock_introspection"" component=PerProcess
| stats dc(data.pid) as count by data.process
| sort 0 -count
| head 1
| rename data.process as answer",index=mock_introspection 
Internal Logs,5,What is the full path for the mongod PEM file?  Dataset: `index=mock_introspection`,/opt/splunk/etc/auth/splunkweb/SplunkShow.pem,You can use rex or combine split and mvindex. The field this can be found in is data.args,"index=""mock_introspection"" component=PerProcess data.process=mongod
| stats count by data.args
| eval answer=mvindex(split(mvindex(split('data.args',""sslPEMKeyFile=""),1),"" ""),0)",index=mock_introspection 
